COMMON.NAME,SCIENTIFIC.NAME,OBSERVATION.COUNT,STATE,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION.DATE,SPECIES.COMMENTS,month,day,daym,year
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Mysore,"Mysore City Bird Atlas 30A, Lingambudhi kere ಲಿಂಗಾಂಬುಧಿ",12.2698754,76.6119778,2/1/2020,NA,2,32,1,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Karnataka,Mysore,"Mysore City Bird Atlas 4A, Nagahanahalli",12.3704212,76.6509976,2/1/2020,NA,2,32,1,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Karnataka,Mandya,Ranganathittu Bird Sanctuary,12.4258897,76.6568685,1/2/2020,NA,1,2,2,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Thiruvananthapuram,"19, 18,7 TDFI Arippa List 3 Kerala, IN (8.841, 77.035)",8.8405966,77.0352581,2/6/2020,NA,2,37,6,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Uttara Kannada,"Old Magazine House, Ganeshgudi",15.2923609,74.5205855,1/15/2020,NA,1,15,15,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Udupi,Golikatte,13.3759047,74.8150787,2/7/2020,NA,2,38,7,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Tamil Nadu,Coimbatore,Anuvavi Murugan Temple,11.0571364,76.8492264,2/2/2020,NA,2,33,2,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kasaragod,"Near Naykkayam Thattu, Odayanchal Vellarikundu Road",12.3810003,75.2153072,1/6/2020,NA,1,6,6,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Bangalore,Kattigenahalli Kere,13.1147566,77.6285791,2/8/2020,NA,2,39,8,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Kollam,"Konni Achankovil Road, Kerala, IN (9.099, 77.099)",9.0990925,77.099096,2/7/2020,NA,2,38,7,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Uttara Kannada,"Isloor Forest, Sirsi, Uttara Kannada",14.685,74.8775,1/12/2020,NA,1,12,12,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,8,Karnataka,Bangalore,Muthanallur chikkakere(now dry),12.8345967,77.7351444,2/8/2020,"2 white males, 3 rufous males, 3 short tail female types.",2,39,8,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Palakkad,"Astamgam Ayurveda Vidyapeedham, Vavanoor",10.7589804,76.1469008,2/7/2020,"Rufous morph,female/s-ub adult",2,38,7,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Kerala,Palakkad,"Astamgam Ayurveda Vidyapeedham, Vavanoor",10.7589804,76.1469008,2/7/2020,Subadult or female,2,38,7,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Maharashtra,Raigarh,Mangaon,18.2360304,73.2828393,2/8/2020,NA,2,39,8,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Kodagu,"Cauvery River, Kodagu IN-Karnataka (12.3471,75.8990)",12.34713,75.899001,2/7/2020,NA,2,38,7,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Karnataka,Udupi,"Eshwar Nagar, Manipal",13.3471469,74.8006779,2/9/2020,NA,2,40,9,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Karnataka,Uttara Kannada,"Old Magazine House, Ganeshgudi",15.2923609,74.5205855,2/3/2020,NA,2,34,3,2020
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Dakshina Kannada,"NITTE KSHEMA Campus (12.81, 74.884)",12.8097429,74.8837861,2/9/2020,NA,2,40,9,2020
