Sl.No.,Sources,Photo/comments,COMMON.NAME,STATE,region,LATITUDE,LONGITUDE,month,day,year,morph
1,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,8.3117,77.0063657,1,1,1978,W
2,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,8.237763,77.0023584,3,17,1978,R
3,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,8.237764,77.0063657,11,18,1980,I
4,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.2445645,79.8530102,2,22,1984,W
5,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.0925,76.4480639,11,29,1984,W
6,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,12.9934334,80.2704477,3,28,1986,I
7,ebird,comments,Indian Paradise-Flycatcher,Jammu & Kashmir,Himalayas,28.4668785,74.8011446,7,13,1988,W
8,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,15.4585,78.797778,4,29,1989,R
9,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,17.3145,78.3172417,4,2,1990,W
10,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.7027,77.564249,1,19,1991,R
11,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.05916,75.966644,1,27,1991,W
12,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.0802175,75.626552,3,5,1991,W
13,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3616,77.191422,12,8,1991,R
14,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,9.4933,76.7651492,12,28,1991,W
15,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3671,77.6831734,1,9,1992,W
16,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.283709,74.2644882,2,19,1993,W
17,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,17.3145,78.4384346,4,16,1993,R
18,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.8154355,77.5879759,10,27,1993,W
19,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.8304,76.6206479,11,30,1994,R
20,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.3636531,74.1061735,12,12,1994,W
21,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.5284,76.6399813,2,21,1995,W
22,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,17.3145,78.4384346,10,16,1995,W
23,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,17.406,79.9415016,4,28,1996,R
24,ebird,comments,Indian Paradise-Flycatcher,Madhya Pradesh,Central,21.1558957,80.5957031,3,16,1998,R
25,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.4418,73.7545314,12,8,1999,W
26,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.1579632,76.89161,3,5,2000,R
27,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,17.3145,78.4384346,2,23,2001,W
28,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.27083,76.91016,1,10,2002,R
29,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.3133,76.932087,1,15,2002,I
30,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.3073,76.901127,1,18,2002,R
31,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.2924,74.233675,2,14,2002,W
32,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.5311,76.6400242,2,22,2002,W
33,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.318674,76.932087,3,27,2002,R
34,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.3244708,76.932087,3,27,2002,R
35,ebird,comments,Indian Paradise-Flycatcher,Haryana,North,26.062108,76.8893809,4,7,2002,R
36,OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,31.5211766,81.402006,4,8,2002,R
37,ebird,comments,Indian Paradise-Flycatcher,Himachal Pradesh,Himalayas,28.3563971,78.5894537,5,16,2002,W
38,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.2924,74.233675,1,4,2003,R
39,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,9.4706,77.1803284,1,12,2003,W
40,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,8.434928,77.1418762,3,4,2003,W
41,ebird,comments,Indian Paradise-Flycatcher,Haryana,North,26.062108,76.8893809,3,27,2003,W
42,OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,31.637379,81.402006,11,1,2003,R
43,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.312082,77.006412,12,6,2003,W
44,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,30.0647328,73.769154,1,10,2004,W
45,OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,32.0352778,79.947168,1,10,2004,W
46,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.299851,76.967501,1,15,2004,R
47,OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,31.6412,80.528271,8,8,2004,R
48,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.1273569,77.042418,9,10,2004,W
49,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3671,77.6831734,12,10,2004,W
50,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.143286,76.9115067,1,5,2005,R
51,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.4401104,73.7893295,1,19,2005,W
52,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,18.3799,72.8853607,3,20,2005,W
53,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.926854,77.5862432,1,12,2006,W
54,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,29.39,73.855146,1,29,2006,R
55,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,9.5829,76.4236879,2,10,2006,R
56,ebird,comments,Indian Paradise-Flycatcher,Uttarakhand,Himalayas,26.855,78.0603397,4,9,2006,W
57,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.7772543,76.9441739,4,11,2006,R
58,OBI,Photo,Indian Paradise-Flycatcher,Jammu & Kashmir,Himalayas,29.352276,74.797717,4,26,2006,W
59,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.38,75.7086754,10,27,2006,W
60,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,10.3505313,76.9766 ,11,14,2006,W
61,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.2820567,76.6369128,11,26,2006,W
62,ebird,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.053308,81.2324 ,12,6,2006,I
63,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,11.995163,76.1153412,2,1,2007,W
64,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,29.3974,73.855146,2,18,2007,R
65,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3671,77.6831734,3,3,2007,W
66,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,16.8606,77.8657776,3,4,2007,W
67,OBI,Photo,Indian Paradise-Flycatcher,Madhya Pradesh,Central,29.353121,81.01805,5,9,2007,W
68,OBI,Photo,Indian Paradise-Flycatcher,Rajasthan,North,30.4001,76.433191,5,19,2007,I
69,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.1098,76.6871157,11,21,2007,R
70,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3671,77.6831734,1,6,2008,W
71,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,10.344473,76.1203,1,30,2008,W
72,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.1144592,76.6871157,2,3,2008,W
73,ebird,Photo,Indian Paradise-Flycatcher,Gujarat,Central,19.55096,70.5819,2,11,2008,W
74,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,10.7976,78.7452,2,23,2008,R
75,OBI,Photo,Indian Paradise-Flycatcher,Nepal,Himalayas,30.3915122,84.431735,6,11,2008,W
76,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.3821,76.89713,8,31,2008,R
77,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.9274811,77.5862432,10,25,2008,W
78,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,9.668,78.0201 ,12,24,2008,R
79,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,9.6786769,78.0201 ,12,24,2008,W
80,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.9641,77.1624756,2,2,2009,W
81,IBP,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,7.274299,77.33244,2,6,2009,R
82,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.2924,74.1063776,3,1,2009,W
83,OBI,Photo,Indian Paradise-Flycatcher,Karnataka,South,29.352276,74.742286,3,8,2009,I
84,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,29.3975,73.103559,3,13,2009,R
85,OBI,Photo,Indian Paradise-Flycatcher,NCT of Delhi,North,28.5352038,77.318502,4,9,2009,I
86,OBI,Photo,Indian Paradise-Flycatcher,West Bengal,East,12.154757,88.716573,4,10,2009,W
87,OBI,Photo,Indian Paradise-Flycatcher,Gujarat,Central,28.5668688,72.392871,6,3,2009,W
88,OBI,Photo,Indian Paradise-Flycatcher,West Bengal,East,33.7538,88.715715,6,16,2009,I
89,OBI,Photo,Indian Paradise-Flycatcher,West Bengal,East,34.0437969,88.715715,6,17,2009,I
90,IBP,Photo,Indian Paradise-Flycatcher,Andhra Pradesh,South,15.569526,77.84608,6,27,2009,R
91,ebird,Photo,Indian Paradise-Flycatcher,Rajasthan,North,22.4231,72.7755 ,7,14,2009,R
92,Fb,Photo,Indian Paradise-Flycatcher,Karnataka,South,12.424861,76.656085,11,28,2009,I
93,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.2289,74.8007,2,21,2010,W
94,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,8.0356,76.953,3,1,2010,R
95,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,8.097313,76.953 ,3,1,2010,R
96,ebird,comments,Indian Paradise-Flycatcher,Gujarat,Central,21.2481335,70.0675988,3,4,2010,W
97,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.1123,75.0253 ,3,6,2010,R
98,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,30.157783,79.360689,5,24,2010,W
99,Inaturalist,Photo,Indian Paradise-Flycatcher,Himachal Pradesh,Himalayas,28.2312,77.429152,5,26,2010,W
100,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.2105085,79.4091797,5,27,2010,W
101,Inaturalist,Photo,Indian Paradise-Flycatcher,Uttarakhand,Himalayas,26.062108,78.289824,6,10,2010,W
102,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,11.5735,76.6179228,7,6,2010,W
103,OBI,Photo,Indian Paradise-Flycatcher,Chhattisgarh,East,21.1292,82.13792,7,7,2010,R
104,ebird,Photo,Indian Paradise-Flycatcher,NCT of Delhi,North,26.062108,77.1661,7,11,2010,R
105,ebird,Photo,Indian Paradise-Flycatcher,NCT of Delhi,North,26.062108,77.1661 ,7,11,2010,R
106,Inaturalist,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,19.1501,72.949009,7,13,2010,R
107,OBI,Photo,Indian Paradise-Flycatcher,Himachal Pradesh,Himalayas,29.3476,77.189591,7,20,2010,W
108,ebird,Photo,Indian Paradise-Flycatcher,NCT of Delhi,North,26.062108,77.1661 ,7,28,2010,R
109,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,18.522534,72.8709534,10,7,2010,W
110,ebird,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,17.599876,73.7714,11,2,2010,I
111,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.5932261,77.1478844,12,27,2010,W
112,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.0983202,76.238299,1,8,2011,W
113,ebird,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.4072,80.4453,1,8,2011,W
114,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,11.2757,76.5908 ,1,13,2011,W
115,ebird,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.437013,79.9627 ,1,16,2011,W
116,ebird,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.3532,80.4453 ,1,25,2011,R
117,ebird,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.3532,80.4453 ,1,25,2011,W
118,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,30.2405165,73.855146,2,5,2011,W
119,ebird,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.3532,80.4453 ,2,16,2011,W
120,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.3271553,74.7927,2,22,2011,W
121,Inaturalist,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,11.5377,76.60186,3,3,2011,W
122,IBP,Photo,Indian Paradise-Flycatcher,Karnataka,South,26.02214,88.25565,3,6,2011,W
123,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,29.3731999,73.855146,3,13,2011,I
124,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,30.255684,73.855146,3,13,2011,W
125,OBI,Photo,Indian Paradise-Flycatcher,Uttarakhand,Himalayas,32.7242599,78.774663,5,18,2011,W
126,ebird,Photo,Indian Paradise-Flycatcher,Uttarakhand,Himalayas,26.062108,79.7026 ,5,18,2011,W
127,OBI,Photo,Indian Paradise-Flycatcher,West Bengal,East,12.310383,88.716573,5,20,2011,W
128,OBI,Photo,Indian Paradise-Flycatcher,Rajasthan,North,30.4001478,75.849505,7,2,2011,R
129,Fb,Photo,Indian Paradise-Flycatcher,Karnataka,South,12.987204,77.587001,11,11,2011,W
130,OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,32.1072,80.534617,11,11,2011,W
131,Fb,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,18.528101,73.854043,11,14,2011,W
132,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.7027,77.25,11,16,2011,W
133,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.7625279,74.5511734,11,17,2011,W
134,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.7625279,74.5669985,11,17,2011,W
135,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.6981751,75.0137258,11,18,2011,W
136,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,8.495,77.0275 ,11,21,2011,R
137,Fb,Photo,Indian Paradise-Flycatcher,Kerala,South,10.105377,76.701141,11,25,2011,W
138,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,14.4202,74.557474,12,27,2011,W
139,ebird,Photo,Indian Paradise-Flycatcher,Goa,South,15.2924,74.2337 ,12,29,2011,W
140,OBI,Photo,Indian Paradise-Flycatcher,Gujarat,Central,28.5669,70.822813,1,11,2012,W
141,Fb,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,18.366745,73.754912,1,11,2012,W
142,ebird,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.409,80.1606 ,1,23,2012,W
143,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,12.9934334,80.2288628,1,23,2012,W
144,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,30.25855,73.855146,1,29,2012,W
145,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.1580162,76.2187967,2,3,2012,R
146,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,30.2586955,73.855146,2,11,2012,W
147,OBI,Photo,Indian Paradise-Flycatcher,Goa,South,28.5416,74.219544,2,12,2012,I
148,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,30.2823,73.855146,2,14,2012,W
149,Fb,Photo,Indian Paradise-Flycatcher,Karnataka,South,11.989776,76.377041,2,15,2012,W
150,Fb,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,18.366745,73.754912,2,15,2012,W
151,Fb,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,18.528101,73.854043,2,15,2012,W
152,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,29.3995,73.855146,2,15,2012,R
153,OBI,Photo,Indian Paradise-Flycatcher,Karnataka,South,29.352276,76.270392,2,16,2012,W
154,OBI,Photo,Indian Paradise-Flycatcher,Karnataka,South,29.352276,76.270392,2,17,2012,R
155,ebird,Photo,Indian Paradise-Flycatcher,Kerala,South,11.1382,76.2188,2,24,2012,R
156,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,30.2823,73.855146,3,17,2012,W
157,ebird,Photo,Indian Paradise-Flycatcher,Bihar,North,22.4808394,85.1003 ,3,19,2012,W
158,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,29.3995,73.855146,3,20,2012,R
159,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,19.210564,79.4091797,3,21,2012,W
160,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,11.9068079,76.2705 ,3,23,2012,W
161,ebird,comments,Indian Paradise-Flycatcher,Haryana,North,26.062108,76.8932374,3,31,2012,W
162,OBI,Photo,Indian Paradise-Flycatcher,West Bengal,East,34.0731635,87.319479,4,12,2012,R
163,ebird,comments,Indian Paradise-Flycatcher,Madhya Pradesh,Central,21.4770718,78.1461596,4,30,2012,W
164,Fb,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,21.146869,79.086307,5,6,2012,R
165,Inaturalist,Photo,Indian Paradise-Flycatcher,Gujarat,Central,19.2987,72.91563,5,12,2012,R
166,OBI,Photo,Indian Paradise-Flycatcher,Uttarakhand,Himalayas,32.7291,79.064506,6,11,2012,W
167,Fb,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,21.156481,79.080746,6,12,2012,W
168,Fb,Photo,Indian Paradise-Flycatcher,Jharkhand,East,22.896586,86.206096,7,22,2012,W
169,OBI,Photo,Indian Paradise-Flycatcher,West Bengal,East,34.082,88.581352,7,28,2012,R
170,ebird,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.4334,81.0878 ,8,16,2012,R
171,Inaturalist,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.8721,80.761871,8,27,2012,R
172,ebird,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,17.7489,73.7714 ,10,28,2012,W
173,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.2897957,76.9602907,10,29,2012,W
174,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.8967,75.4096413,11,5,2012,W
175,Fb,Photo,Indian Paradise-Flycatcher,Goa,South,15.49166,73.825529,12,1,2012,I
176,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.2158246,76.2187967,12,2,2012,R
177,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.370154,75.0901365,12,14,2012,W
178,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.2192582,76.2187967,12,14,2012,R
179,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.1131,76.6871157,12,14,2012,W
180,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.3919431,76.3849182,12,16,2012,R
181,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.2162,76.2187967,12,20,2012,R
182,ebird,comments,Indian Paradise-Flycatcher,Gujarat,Central,22.2446,72.6166748,12,23,2012,W
183,Inaturalist,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.8268,80.756378,12,24,2012,R
184,ebird,comments,Indian Paradise-Flycatcher,Goa,South,14.6,73.948245,12,30,2012,W
185,ebird,comments,Indian Paradise-Flycatcher,Goa,South,14.570989,73.9855659,1,4,2013,R
186,ebird,comments,Indian Paradise-Flycatcher,Goa,South,14.9761,74.0190125,1,4,2013,R
187,ebird,comments,Indian Paradise-Flycatcher,Goa,South,14.4379663,74.2061884,1,5,2013,R
188,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,12.723027,77.5764 ,1,6,2013,R
189,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.283709,74.2644882,1,8,2013,W
190,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.3366,74.7955 ,1,9,2013,W
191,Fb,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.729433,80.159546,1,13,2013,I
192,OBI,Photo,Indian Paradise-Flycatcher,Karnataka,South,29.3523,74.529437,1,17,2013,W
193,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,29.4077,73.855146,1,18,2013,R
194,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,30.2823,73.855146,1,18,2013,W
195,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.7773,76.9441739,1,26,2013,R
196,Fb,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,18.528101,73.854043,1,26,2013,W
197,Fb,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,18.528101,73.854043,1,28,2013,W
198,ebird,comments,Indian Paradise-Flycatcher,Rajasthan,North,26.02301,77.5170422,1,30,2013,W
199,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.3590576,76.6440726,2,2,2013,W
200,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.4045,76.6470838,2,2,2013,W
201,Inaturalist,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,7.294848,77.332443,2,7,2013,W
202,OBI,Photo,Indian Paradise-Flycatcher,Gujarat,Central,28.5416,73.793379,2,9,2013,I
203,Fb,Photo,Indian Paradise-Flycatcher,Karnataka,South,14.229443,74.812521,2,13,2013,W
204,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.0842,76.66175,2,16,2013,R
205,ebird,comments,Indian Paradise-Flycatcher,Gujarat,Central,20.764053,70.5167341,2,17,2013,W
206,Fb,Photo,Indian Paradise-Flycatcher,Karnataka,South,12.972423,77.595598,2,19,2013,W
207,Inaturalist,Photo,Indian Paradise-Flycatcher,Kerala,South,10.1067,76.688947,2,23,2013,R
208,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,11.9443,77.142477,3,16,2013,W
209,Fb,Photo,Indian Paradise-Flycatcher,West Bengal,East,23.202723,88.851483,3,29,2013,R
210,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,29.4079,73.855146,4,1,2013,R
211,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,13.37,77.6832 ,4,6,2013,W
212,Fb,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,32.1072,80.534617,4,6,2013,I
213,ebird,Photo,Indian Paradise-Flycatcher,Odisha,East,19.3297939,84.8676 ,4,13,2013,W
214,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.8130917,74.8474717,4,17,2013,R
215,ebird,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.887358,80.7568 ,4,17,2013,R
216,ebird,comments,Indian Paradise-Flycatcher,Madhya Pradesh,Central,22.3507109,81.013367,4,24,2013,R
217,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.7969871,76.9441739,5,3,2013,W
218,OBI,Photo,Indian Paradise-Flycatcher,Uttarakhand,Himalayas,32.3271,79.526394,5,17,2013,R
219,OBI,Photo,Indian Paradise-Flycatcher,Rajasthan,North,30.8550831,78.170279,5,21,2013,W
220,OBI,Photo,Indian Paradise-Flycatcher,Uttarakhand,Himalayas,32.7291,79.448116,5,23,2013,W
221,OBI,Photo,Indian Paradise-Flycatcher,Gujarat,Central,28.6089384,71.149636,6,2,2013,W
222,Fb,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,31.5211766,81.402006,6,13,2013,R
223,Fb,Photo,Indian Paradise-Flycatcher,Chhattisgarh,East,21.250954,81.629498,6,29,2013,W
224,ebird,Photo,Indian Paradise-Flycatcher,West Bengal,East,21.1292,88.5994 ,6,29,2013,R
225,ebird,Photo,Indian Paradise-Flycatcher,West Bengal,East,21.1292,88.5994 ,6,29,2013,W
226,OBI,Photo,Indian Paradise-Flycatcher,West Bengal,East,34.086253,88.581352,7,13,2013,R
227,OBI,Photo,Indian Paradise-Flycatcher,Uttarakhand,Himalayas,32.7701,79.497931,7,17,2013,W
228,Fb,Photo,Indian Paradise-Flycatcher,Chhattisgarh,East,21.250954,81.629498,7,22,2013,R
229,OBI,Photo,Indian Paradise-Flycatcher,Rajasthan,North,30.40058,75.836729,7,23,2013,R
230,OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,30.2823,79.360689,8,25,2013,W
231,OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,31.6413982,81.334341,9,17,2013,R
232,ebird,comments,Indian Paradise-Flycatcher,Maharashtra,Central,18.379859,73.8256,10,21,2013,W
233,ebird,Photo,Indian Paradise-Flycatcher,Karnataka,South,15.2614,74.5206 ,10,26,2013,W
234,Fb,Photo,Indian Paradise-Flycatcher,Goa,South,15.491093,73.826332,10,27,2013,R
235,Inaturalist,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,11.9855288,79.876175,10,30,2013,R
236,Fb,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,18.990075,73.270987,11,9,2013,W
237,Fb,Photo,Indian Paradise-Flycatcher,Kerala,South,12.511055,74.985888,11,10,2013,R
238,Fb,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.989008,80.492502,11,17,2013,W
239,Fb,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,7.298018,79.880606,11,18,2013,R
240,Fb,Photo,Indian Paradise-Flycatcher,Kerala,South,10.528062,76.214661,11,20,2013,R
241,Fb,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.989008,80.492502,11,22,2013,W
242,Fb,Photo,Indian Paradise-Flycatcher,Karnataka,South,12.412352,77.873825,11,23,2013,R
243,Fb,Photo,Indian Paradise-Flycatcher,Kerala,South,10.528062,76.214661,11,27,2013,R
244,Fb,Photo,Indian Paradise-Flycatcher,Kerala,South,10.528062,76.214661,12,3,2013,R
245,Fb,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,6.739465,80.162243,12,4,2013,W
246,ebird,comments,Indian Paradise-Flycatcher,Andhra Pradesh,South,13.5179295,78.4527254,12,12,2013,W
247,Fb,Photo,Indian Paradise-Flycatcher,Kerala,South,11.258701,75.780033,12,21,2013,R
248,ebird,comments,Indian Paradise-Flycatcher,West Bengal,East,21.7561481,88.6549151,12,22,2013,W
249,Fb,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,7.705834,79.811912,12,24,2013,W
250,OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,30.993413,80.761097,12,25,2013,I
251,OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,Sri Lanka,32.116077,80.761097,12,25,2013,W
252,ebird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,South,11.7461,78.7023 ,12,26,2013,W
253,Fb,Photo,Indian Paradise-Flycatcher,Karnataka,South,14.229443,74.812521,12,29,2013,R
254,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.088936,76.7866176,1,3,2014,W
255,ebird,Photo,Indian Paradise-Flycatcher,Goa,South,15.341205,74.1062,1,5,2014,W
256,ebird,Photo,Indian Paradise-Flycatcher,Maharashtra,Central,17.4547,73.7693 ,1,9,2014,W
