source,documentation,COMMON.NAME,SAMPLING.EVENT.IDENTIFIER,morph,aberration,int_rating
eBird,Photo,Indian Paradise-Flycatcher,S63039138,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63039138,R,,
eBird,Photo,Indian Paradise-Flycatcher,S67529023,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70034638,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63198149,R,,
eBird,Photo,Indian Paradise-Flycatcher,S120633495,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63196731,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63256053,I,,4
eBird,Photo,Indian Paradise-Flycatcher,S63235864,I,,4
eBird,Photo,Indian Paradise-Flycatcher,S63256878,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63256878,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63231883,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63228407,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65395682,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63260402,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63513027,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63258008,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63304053,W,,
eBird,Photo,Indian Paradise-Flycatcher,S152269408,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63343878,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63385605,W,,
eBird,Photo,Indian Paradise-Flycatcher, S63439720,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63409029,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63405691,W,,
eBird,Photo,Indian Paradise-Flycatcher,S126031372,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63652615,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63499787,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63500577,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63551973,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63499788,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63500091,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63697259,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63712010,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63712010,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65703206,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63712010,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63579200,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63683349,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63650825,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63648900,R,,
eBird,Photo,Indian Paradise-Flycatcher,S63652124,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63660562,W,,
eBird,Photo,Indian Paradise-Flycatcher,S71902077,I,,3
eBird,Photo,Indian Paradise-Flycatcher,S71902077,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63689960,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63722052,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64270200,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64493503,W,,
eBird,Photo,Indian Paradise-Flycatcher,S63749399,W,,
eBird,Photo,Indian Paradise-Flycatcher, S63797584,W,,
eBird,Photo,Indian Paradise-Flycatcher,S76075400,W,,
eBird,Photo,Indian Paradise-Flycatcher, S64779572,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64071074,I,,1
eBird,Photo,Indian Paradise-Flycatcher,S85743670,I,,3
eBird,Photo,Indian Paradise-Flycatcher,S64033440,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64032789,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64041461,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64315472,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64049471,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64082562,R,,
eBird,Photo,Indian Paradise-Flycatcher,S113804440,W,,
eBird,Photo,Indian Paradise-Flycatcher,S113804440,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64109714,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64117522,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64706049,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64118758,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64296616,R,,
eBird,Photo,Indian Paradise-Flycatcher,S68369659,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64240711,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64224499,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64228029,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64223706,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64224499,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64262651,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64290175,R,,
eBird,Photo,Indian Paradise-Flycatcher, S64456053,W,,
eBird,Photo,Indian Paradise-Flycatcher,S72158957,W,,
eBird,Photo,Indian Paradise-Flycatcher, S64700122,R,,
eBird,Photo,Indian Paradise-Flycatcher,S64438186,I,,2
eBird,Photo,Indian Paradise-Flycatcher,S64461075,W,,
eBird,Photo,Indian Paradise-Flycatcher,S64486308,W,,
